Date,Negative,Positive
10/1/2017,6718,3150
10/2/2017,6894,2929
10/3/2017,7082,2771
10/4/2017,6807,3020
10/5/2017,6388,3474
10/6/2017,2888,1182
10/7/2017,2361,975
10/8/2017,6969,2898
10/9/2017,6787,3105
10/10/2017,7227,2678
10/11/2017,6728,3161
10/12/2017,6739,3163
10/13/2017,6704,3124
10/14/2017,6637,3121
10/15/2017,6763,3113
10/16/2017,6410,3418
10/17/2017,6653,3168
10/18/2017,6786,3079
10/19/2017,7073,2751
10/20/2017,7202,2654
10/21/2017,6740,3105
10/22/2017,6582,3144
10/23/2017,6929,2930
10/24/2017,6552,3309
10/25/2017,6456,3349
10/26/2017,6390,3453
10/27/2017,6535,3342
10/28/2017,6496,3321
10/29/2017,5207,2067
10/30/2017,6873,2958
10/31/2017,6865,2993
11/1/2017,6139,3763
11/2/2017,6665,3242
11/3/2017,6750,3116
11/4/2017,6669,3166
11/5/2017,6581,3160
11/6/2017,7260,2599
11/7/2017,6622,3157
11/8/2017,6925,2916
11/9/2017,6735,3120
11/10/2017,6723,3135
11/11/2017,6563,2898
11/12/2017,6925,2959
11/13/2017,6849,2996
11/14/2017,6600,3288
11/15/2017,6975,2923
11/16/2017,6614,3259
11/17/2017,5983,3863
11/18/2017,6555,3330
11/19/2017,6370,3482
11/20/2017,6830,3043
11/21/2017,6837,2985
11/22/2017,6468,3374
11/23/2017,6565,3304
11/24/2017,6460,3367
11/25/2017,6559,3290
11/26/2017,6557,3318
11/27/2017,6147,3727
11/28/2017,6451,3370
11/29/2017,6761,3108
11/30/2017,6656,3208
12/1/2017,6816,3041
12/2/2017,6569,3240
12/3/2017,6282,3561
12/4/2017,6831,3018
12/5/2017,6257,3569
12/6/2017,6547,3331
12/7/2017,6392,3449
12/8/2017,6468,3336
12/9/2017,6602,3261
12/10/2017,4686,2094
12/11/2017,5138,2362
12/12/2017,6506,3300
12/13/2017,6339,3471
12/14/2017,6557,3176
12/15/2017,6546,3254
12/16/2017,6648,3146
12/17/2017,6876,2945
12/18/2017,6616,3213
12/19/2017,6866,2973
12/20/2017,7020,2808
12/21/2017,6396,3453
12/22/2017,6804,2977
12/23/2017,7013,2795
12/24/2017,6442,3343
12/25/2017,6389,3451
12/26/2017,6864,2885
12/27/2017,6679,3132
12/28/2017,6656,3128
12/29/2017,6407,3415
12/30/2017,6599,3212
12/31/2017,6261,3510
1/1/2018,5395,2851
1/2/2018,6473,3337
1/3/2018,6776,3047
1/4/2018,6406,3329
1/5/2018,6628,3133
1/6/2018,6246,3581
1/7/2018,1061,593
1/8/2018,6323,3454
1/9/2018,6473,3136
1/10/2018,6492,3297
1/11/2018,6537,3252
1/12/2018,6222,3509
1/13/2018,6378,3433
1/14/2018,6648,3131
1/15/2018,6537,3241
1/16/2018,6920,2744
1/17/2018,7037,2757
1/18/2018,6608,3162
1/19/2018,6442,3351
1/20/2018,6344,3408
1/21/2018,6653,3163
1/22/2018,6791,2959
1/23/2018,6017,3744
1/24/2018,6441,3380
1/25/2018,6186,3604
1/26/2018,6364,3427
1/27/2018,6436,3356
1/28/2018,6398,3419
1/29/2018,6391,3376
1/30/2018,6464,3354
2/1/2018,6551,3223
2/2/2018,6932,2830
2/3/2018,6476,3356
2/4/2018,6332,3521
2/5/2018,7091,2731
2/6/2018,6474,3338
2/7/2018,6659,3087
2/8/2018,6395,3413
2/9/2018,6579,3219
2/10/2018,6811,3000
2/11/2018,6616,3192
2/12/2018,6195,3602
2/13/2018,6558,3205
2/14/2018,6364,3419
2/15/2018,6467,3331
2/16/2018,6598,3205
2/17/2018,6549,3221
2/18/2018,6433,3406
2/19/2018,6223,3592
2/20/2018,6402,3447
2/21/2018,6624,3144
2/22/2018,6325,3480
2/23/2018,6256,3489
2/24/2018,6258,3511
2/25/2018,5528,3497
2/26/2018,2769,1467
2/27/2018,5918,3886
2/28/2018,6677,3118
3/1/2018,6404,3409
3/2/2018,6609,3117
3/3/2018,6116,3693
3/4/2018,3967,2290
3/5/2018,6722,3097
3/6/2018,6508,3314
3/7/2018,6702,3107
3/8/2018,6535,3286
3/9/2018,6333,3412
3/10/2018,6770,3048
3/11/2018,6455,3307
3/12/2018,6801,3025
3/13/2018,6456,3343
3/14/2018,6869,2977
3/15/2018,6653,3176
3/16/2018,6950,2877
3/17/2018,6866,2969
3/18/2018,6616,3195
3/19/2018,6587,3265
3/20/2018,6954,2903
3/21/2018,6923,2914
3/22/2018,6716,3131
3/23/2018,6713,3053
3/24/2018,6559,3266
3/25/2018,6634,3204
3/26/2018,1526,916
3/27/2018,6619,3228
3/28/2018,6853,2982
3/29/2018,6560,3255
3/30/2018,6722,3113
3/31/2018,6919,2927
4/1/2018,6810,3018
4/2/2018,6901,2943
4/3/2018,6815,3002
4/4/2018,6651,3183
4/5/2018,6831,3016
4/6/2018,6831,2999
4/7/2018,6453,3404
4/8/2018,6367,3394
4/9/2018,6477,3284
4/10/2018,6629,3174
4/11/2018,6895,2933
4/12/2018,3534,1536
4/13/2018,6651,3159
4/14/2018,6250,3591
4/15/2018,6520,3346
4/16/2018,6698,3132
4/17/2018,6696,3129
4/18/2018,6809,2986
4/19/2018,1996,851
4/20/2018,6506,3306
4/21/2018,6691,3153
4/22/2018,6524,3322
4/23/2018,6100,2818
4/24/2018,6729,3113
4/25/2018,6856,2966
4/26/2018,4592,2022
4/27/2018,6400,3236
4/28/2018,6543,3255
4/29/2018,6409,3386
4/30/2018,6448,3347
2018-06-03,1083,4555
